구분,이름,주소,lat,lng,비고
물류창고,동원로엑스(주),대전광역시 대덕구 방두말1길 12 (상서동),36.4296918626968,127.425247268808,
물류창고,롯데글로벌로지스(주),"대전광역시 대덕구 문평동로18번길 21, 롯데제과(주) (문평동)",36.4480445855727,127.403022438812,
물류창고,주식회사 넥센,"대전광역시 대덕구 대화로52번안길 55, 넥센타이어 (대화동)",36.3728286607899,127.408433088553,
물류창고,한솔로지스틱스 주식회사,대전광역시 대덕구 평촌동 24번지 3호,36.430221151794,127.434819568073,
물류창고,주식회사 대승물산,대전광역시 동구 물류로14번길 88 (구도동),36.2743229867196,127.465290812966,
물류창고,대전물류(주),대전광역시 동구 안골로28번길 (구도동),36.2710294233924,127.468110175917,
물류창고,대신정기화물(주),대전광역시 유성구 대정북로 30 (대정동),36.3156076562246,127.318711137018,
물류창고,한솔로지스틱스(주) 신탄진센타,대전광역시 대덕구 신일서로126번길 60 (신일동),36.4345637370925,127.408044676969,
물류창고,(주)한진 대전지점,"대전광역시 유성구 대정로 68, (주)한진대전택배터미널 301호(대정동)",36.3183343066551,127.320350070291,
물류창고,(주)한진 대전중부지점,대전광역시 대덕구 대화로106번길 111 (대화동),36.3708040691323,127.404173136423,
물류창고,한솔로지스틱스(주) 대전센타,대전광역시 대덕구 신일서로68번길 50 (신일동),36.4367655399073,127.399061678797,
물류창고,롯데글로벌로지스주식회사,대전광역시 대덕구 대전로1331번길 205 (대화동),36.3705159402447,127.410628469639,
물류창고,한국농수산식품유통공사,대전광역시 대덕구 신탄진로 276 (와동),36.4053674015973,127.424712340535,
물류창고,씨제이대한통운(주) 문평동지점,대전광역시 대덕구 대덕대로1447번길 39 (문평동),36.4493221444408,127.407882024969,
물류창고,씨제이대한통운(주) 읍내동지점,대전광역시 대덕구 신탄진로 1 (읍내동),36.3835134346404,127.424393857109,
물류창고,SK네트웍스(주) 대전지사,대전광역시 대덕구 대화로132번길 161 (대화동),36.3727123929671,127.401847770249,
물류창고,한솔로지스틱스 신탄진CY,"대전광역시 대덕구 평촌2길 59 (평촌동, 시설장비사무소)",36.4303565525859,127.4348068296,
물류창고,대전보세창고,대전광역시 대덕구 문평동로 41-16 (문평동),36.4474770434793,127.400315052736,
물류창고,머크 주식회사 대전 바이오프로세싱생산센터,대전광역시 유성구 국제과학18로 85 머크 바이오프로세싱생산센터,36.4438498952147,127.353286013421,
물류창고,대전광역시서구전통시장상인협동조합,대전광역시 서구 도솔로296번길 39(대전 서구 전통시장 공동물류창고 1층 일부분호 괴정동),36.3340337800953,127.382867536113,
물류창고,(주)한익스프레스,대전광역시 대덕구 대화로32번길 335(1층 대화동),36.3746775425276,127.406201066008,
물류창고,씨제이대한통운(주),"대전광역시 대덕구 대덕대로1447번길 39(가동 문평동, 씨제이대한통운택배허브터미널)",36.4493221444408,127.407882024969,
물류창고,동원로엑스(주)대전물류센타,대전광역시 대덕구 방두말1길 12(상서동),36.4296918626968,127.425247268808,
물류창고,백년축산,"대전광역시 유성구 대정북로 68, 대정동창고시설 B101호 (대정동)",36.316249951087,127.322499715975,
물류창고,동원로엑스(주) 대전센터,"대전광역시 대덕구 방두말1길 12, (주)동원F&B (상서동)",36.4296918626968,127.425247268808,
물류창고,(주)블랙해머,"대전광역시 중구 대종로333번길 61, 1층 (부사동)",36.3141104544011,127.430363967716,
물류창고,쿠팡 대전1 신선센터,"대전광역시 동구 안골로 33, 3,4층 (구도동)",36.2688927940285,127.473857318381,기본주소로 재검색(대전광역시 동구 안골로 33)
물류창고,주식회사 해우미트,대전광역시 대덕구 오정로42번길 59-2 (오정동),36.3534826877442,127.414236173252,
물류창고,엘리트,"대전광역시 중구 대둔산로300번길 36, 1,2층 (사정동)",36.2959692440814,127.386547801116,기본주소로 재검색(대전광역시 중구 대둔산로300번길 36)
물류창고,(주)빙그레,"대전광역시 대덕구 신탄진로115번안길 26, (주)빙그레 1층 (신대동)",36.3918587945915,127.417462664086,
물류창고,씨제이대한통운(주),대전광역시 대덕구 대덕대로1447번길 39 (문평동),36.4493221444408,127.407882024969,
물류창고,(주)동원홈푸드,대전광역시 대덕구 대화로 36 (대화동),36.3679055816813,127.415691541167,
물류창고,씨제이대한통운(주),"대전광역시 대덕구 신탄진로 1, 대한통운 창고동 3층 (읍내동)",36.3835134346404,127.424393857109,
세이백화점,세이백화점 본점,대전 중구 계백로 1700,36.3206307458962,127.408799114142,
세이백화점,세이백화점 탄방점,대전 서구 문정로 85,36.3470384080283,127.388833434095,
세이백화점,세이백화점 대정점,대전 유성구 대정로 2,36.3122102456344,127.320244954118,
홈플러스,홈플러스 유성점,,36.358402,127.354168,"매각 확정, 2026 하반기 폐점 예정"
홈플러스,홈플러스 동대전점,,36.353819,127.437369,2022년 폐점
홈플러스,홈플러스익스프레스 봉명점,,36.354993,127.336182,"정상영업, 충격지점 아님"
홈플러스,홈플러스 가오점,,36.30697,127.457984,"전국 임시휴업 중, 리스크 시나리오"
홈플러스,홈플러스 문화점,,36.320292,127.407693,2026년 1월 폐점
홈플러스,홈플러스 서대전점,,36.313703,127.319001,"2024년 폐점 / 좌표 이력: 원좌표(유성구 대정동, 모다아울렛 옆)가 정확 — 언론보도(충청투데이·대전일보·뉴스1)+홈플러스 공식 앱 대조 확인(2026-07-19). 07-18의 계백로 방면 수정은 카카오 입점업체명 기반 오판(서대전역 혼동 추정)으로 철회"
